-6.4262,48.359,-15.969,-39.309,19.669,16.988,1.9768,14.641,6.3055,-102.9,4.6338,7.437,19.41,-0.6836,18.544,4.9223
1.5738,54.359,-14.969,-35.309,20.669,9.988,2.9768,11.641,2.3055,-102.9,6.6338,9.437,16.41,-0.6836,10.544,3.9223
1.5738,55.359,-13.969,-29.309,18.669,9.988,2.9768,9.6406,-2.6945,-98.899,2.6338,14.437,13.41,0.3164,14.544,5.9223
0.57381,52.359,-15.969,-28.309,20.669,9.988,1.9768,11.641,-4.6945,-94.899,1.6338,15.437,8.4099,1.3164,14.544,6.9223
-2.4262,54.359,-11.969,-25.309,16.669,6.988,0.97683,11.641,-3.6945,-92.899,-2.3662,13.437,9.4099,2.3164,16.544,12.922
-7.4262,62.359,-1.9685,-24.309,11.669,7.988,-3.0232,4.6406,-1.6945,-90.899,-1.3662,16.437,6.4099,2.3164,11.544,8.9223
-12.426,64.359,1.0315,-23.309,8.6686,6.988,-5.0232,3.6406,-0.6945,-86.899,-2.3662,15.437,5.4099,1.3164,17.544,7.9223
-18.426,57.359,3.0315,-20.309,6.6686,6.988,-7.0232,3.6406,1.3055,-82.899,-1.3662,15.437,7.4099,0.3164,14.544,6.9223
-21.426,48.359,3.0315,-14.309,4.6686,2.988,-8.0232,-0.35941,6.3055,-79.899,4.6338,20.437,5.4099,-2.6836,20.544,11.922
-28.426,46.359,-1.9685,-9.3088,7.6686,4.988,-10.023,1.6406,6.3055,-73.899,4.6338,22.437,6.4099,-7.6836,18.544,12.922
-26.426,44.359,-7.9685,-6.3088,11.669,5.988,-10.023,-1.3594,6.3055,-62.899,0.63376,23.437,2.4099,-11.684,19.544,16.922
-21.426,46.359,-6.9685,-0.30878,9.6686,4.988,-12.023,0.64059,7.3055,-52.899,-4.3662,21.437,-4.5901,-14.684,21.544,11.922
-17.426,51.359,-8.9685,1.6912,4.6686,6.988,-10.023,4.6406,4.3055,-47.899,-8.3662,23.437,-11.59,-20.684,15.544,12.922
